fixed.acidity,volatile.acidity,citric.acid,residua.sugar,alcohol,types
7.4,0.7,0.0,1.9,9.4,vodka
7.8,0.88,0.0,2.6,9.8,vodka
7.8,0.76,0.04,2.3,9.8,vodka
11.2,0.28,0.56,1.9,9.8,vodka
7.4,0.7,0.0,1.9,9.4,vodka
7.4,0.66,0.0,1.8,9.4,vodka
7.9,0.6,0.06,1.6,9.4,vodka
7.3,0.65,0.0,1.2,10.0,vodka
7.8,0.58,0.02,2.0,9.5,vodka
7.5,0.5,0.36,6.1,10.5,vodka
6.7,0.58,0.08,1.8,9.2,vodka
7.5,0.5,0.36,6.1,10.5,vodka
5.6,0.615,0.0,1.6,9.9,vodka
7.8,0.61,0.29,1.6,9.1,vodka
8.9,0.62,0.18,3.8,9.2,vodka
8.9,0.62,0.19,3.9,9.2,vodka
8.5,0.28,0.56,1.8,10.5,vodka
8.1,0.56,0.28,1.7,9.3,vodka
7.4,0.59,0.08,4.4,9.0,vodka
7.9,0.32,0.51,1.8,9.2,vodka
8.9,0.22,0.48,1.8,9.4,vodka
7.6,0.39,0.31,2.3,9.7,vodka
7.9,0.43,0.21,1.6,9.5,vodka
8.5,0.49,0.11,2.3,9.4,vodka
6.9,0.4,0.14,2.4,9.7,vodka
6.3,0.39,0.16,1.4,9.3,vodka
7.6,0.41,0.24,1.8,9.5,vodka
7.9,0.43,0.21,1.6,9.5,vodka
7.1,0.71,0.0,1.9,9.4,vodka
7.8,0.645,0.0,2.0,9.8,vodka
6.7,0.675,0.07,2.4,10.1,vodka
6.9,0.685,0.0,2.5,10.6,vodka
8.3,0.655,0.12,2.3,9.8,vodka
6.9,0.605,0.12,10.7,9.4,vodka
5.2,0.32,0.25,1.8,9.2,vodka
7.8,0.645,0.0,5.5,9.6,vodka
7.8,0.6,0.14,2.4,10.8,vodka
8.1,0.38,0.28,2.1,9.7,vodka
5.7,1.13,0.09,1.5,9.8,vodka
7.3,0.45,0.36,5.9,10.5,vodka
7.3,0.45,0.36,5.9,10.5,vodka
8.8,0.61,0.3,2.8,9.3,vodka
7.5,0.49,0.2,2.6,10.5,vodka
8.1,0.66,0.22,2.2,10.3,vodka
6.8,0.67,0.02,1.8,9.5,vodka
4.6,0.52,0.15,2.1,13.1,vodka
7.7,0.935,0.43,2.2,9.2,vodka
8.7,0.29,0.52,1.6,9.5,vodka
6.4,0.4,0.23,1.6,9.2,vodka
5.6,0.31,0.37,1.4,9.2,vodka
8.8,0.66,0.26,1.7,9.2,vodka
6.6,0.52,0.04,2.2,9.4,vodka
6.6,0.5,0.04,2.1,9.4,vodka
8.6,0.38,0.36,3.0,9.4,vodka
7.6,0.51,0.15,2.8,10.2,vodka
7.7,0.62,0.04,3.8,9.5,vodka
10.2,0.42,0.57,3.4,9.6,vodka
7.5,0.63,0.12,5.1,9.4,vodka
7.8,0.59,0.18,2.3,10.0,vodka
7.3,0.39,0.31,2.4,9.4,vodka
8.8,0.4,0.4,2.2,9.2,vodka
7.7,0.69,0.49,1.8,9.3,vodka
7.5,0.52,0.16,1.9,9.5,vodka
